CPI序号,波位号,时间戳(ms),帧间隔(ms),目标数,有效点迹数,宽脉冲数,窄脉冲数,最小距离(m),最大距离(m),最小速度(m/s),最大速度(m/s),正高度点数,负高度点数(地杂波)
282,7,944224,164,14,14,10,4,1027.7,10718.4,-3.55,67.17,7,7
283,8,944388,164,4,4,2,2,1026.2,4719.0,-4.64,2.46,2,2
284,9,944552,164,3,3,1,2,1383.8,3568.6,-0.82,0.82,1,2
285,10,944716,164,3,3,1,2,668.5,4649.1,-1.64,1.09,2,1
286,11,944880,164,1,1,1,0,5081.2,5081.2,4.64,4.64,1,0
287,12,945044,164,1,1,1,0,3929.9,3929.9,1.91,1.91,1,0
288,13,945208,164,1,1,1,0,3161.9,3161.9,-6.01,-6.01,1,0
289,14,945372,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
290,15,945536,164,1,1,1,0,9327.9,9327.9,21.84,21.84,1,0
291,16,945700,164,1,1,1,0,3257.8,3257.8,1.37,1.37,0,1
292,0,945864,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
293,1,946028,164,3,3,2,1,959.7,4083.4,-63.34,8.74,3,0
294,2,946192,164,2,2,2,0,4090.3,4091.0,-63.34,-63.34,2,0
295,3,946356,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
296,4,946520,164,16,16,14,2,1318.1,11439.3,-59.80,36.59,6,10
297,5,946684,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
298,6,946848,164,1,1,1,0,7020.9,7020.9,9.01,9.01,1,0
299,7,947012,164,14,14,8,6,1050.7,10718.3,-55.70,57.61,5,9
300,8,947176,164,3,3,1,2,315.4,4723.6,-1.91,1.64,1,2
301,9,947340,164,1,1,0,1,1678.2,1678.2,-5.46,-5.46,1,0
302,10,947504,164,4,4,1,3,1291.4,4772.5,-1.91,0.82,3,1
303,11,947668,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
304,12,947832,164,1,1,1,0,5246.6,5246.6,2.46,2.46,1,0
305,13,947996,164,2,2,0,2,1486.9,1847.1,-3.82,4.10,2,0
306,14,948160,164,1,1,1,0,4915.9,4915.9,-8.19,-8.19,1,0
307,15,948324,164,3,3,2,1,1195.7,5223.4,-3.55,-1.64,2,1
308,16,948488,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
309,0,948652,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
310,1,948816,164,3,3,2,1,936.6,4280.4,-74.86,10.92,3,0
311,2,948980,164,2,2,1,1,1680.7,4299.9,-74.86,-12.01,2,0
312,3,949144,164,3,3,1,2,644.3,12088.5,0.82,4.64,2,1
313,4,949308,164,13,13,11,2,1313.8,11439.0,-21.30,55.97,6,7
314,5,949472,164,2,2,2,0,2731.2,10049.0,3.28,4.37,2,0
315,6,949636,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
316,7,949800,164,17,17,11,6,451.6,10745.5,-30.31,57.34,7,10
317,8,949964,164,4,4,1,3,1033.5,4725.3,-3.28,1.37,1,3
318,9,950128,164,3,3,1,2,1334.6,3640.7,-9.28,-0.82,1,2
319,10,950292,164,2,2,1,1,1294.2,2130.7,-2.73,-1.09,2,0
320,11,950456,164,2,2,2,0,3930.8,10097.1,-5.19,51.60,2,0
321,12,950620,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
322,13,950784,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
323,14,950948,164,4,4,1,3,404.4,4941.6,-61.16,-1.37,4,0
324,15,951112,164,1,1,1,0,5221.9,5221.9,5.73,5.73,1,0
325,16,951276,164,1,1,1,0,2466.6,2466.6,-1.09,-1.09,0,1
326,0,951440,164,0,0,0,0,0.0,0.0,0.00,0.00,0,0
327,1,951604,164,2,2,1,1,932.6,4515.9,-80.62,6.28,2,0
328,2,951768,164,1,1,0,1,907.9,907.9,6.55,6.55,1,0
